model_name,mae,rmse,r2,predictions,actuals
Ridge Regression (Grade Distribution),0.041250978296023505,0.0601600257995955,0.9157916669770175,"[3.14600375 3.33673609 3.40920373 3.34377744 3.2894017  3.13120052
 3.4028971  3.34917493 3.51723681 3.52038585 3.47487403 3.51067496
 3.43267458 3.24724963 3.21760777 3.03103771 3.42967782 3.57896136
 3.87990586 3.48158004 3.2801666  3.63826567 3.61776218 3.12142513
 3.75395786 3.3716554  3.61664263 3.77858133 3.66183948]","[3.20077356 3.28886065 3.41385959 3.35804209 3.30752654 3.19366935
 3.43391733 3.34700469 3.51620738 3.52614995 3.4585789  3.47184774
 3.45461847 3.29685215 3.39099364 2.85212453 3.46231752 3.59777657
 3.82950131 3.47597015 3.2814978  3.59570201 3.60387674 3.04721879
 3.71639344 3.46471545 3.61653543 3.73903509 3.72727273]"
Random Forest (All Features),0.06054061565758695,0.0691237802220464,0.30789154577254796,"[3.29471699 3.29490018 3.32706756 3.32187949 3.35552643 3.28939891
 3.34243479 3.32082934]","[3.20077356 3.28886065 3.41385959 3.35804209 3.30752654 3.19366935
 3.43391733 3.34700469]"
Baseline (Mean),0.1563306406151634,0.20731488194928324,0.0,,
